,model_name,test_accuracy,test_roc_auc,test_ppv,test_npv,test_sensitivity,test_specificity,train_accuracy,train_roc_auc,train_ppv,train_npv,train_sensitivity,train_specificity,auc_diff
0,RF,0.7777777777777778,0.7839506172839507,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6590909090909091,0.6957644628099173,0.675,0.6458333333333334,0.6136363636363636,0.7045454545454546,-0.08818615447403333
1,XGBoost,0.7222222222222222,0.7530864197530864,0.7,0.75,0.7777777777777778,0.6666666666666666,0.5681818181818182,0.5702479338842976,0.5652173913043478,0.5714285714285714,0.5909090909090909,0.5454545454545454,-0.1828384858687888
2,DT,0.5,0.5,0.5,0.5,0.4444444444444444,0.5555555555555556,0.5795454545454546,0.5795454545454545,0.5777777777777777,0.5813953488372093,0.5909090909090909,0.5681818181818182,0.07954545454545447
3,GBM,0.7222222222222222,0.7530864197530864,0.7,0.75,0.7777777777777778,0.6666666666666666,0.5568181818181818,0.6198347107438016,0.5555555555555556,0.5581395348837209,0.5681818181818182,0.5454545454545454,-0.13325170900928485
4,SVC,0.7222222222222222,0.8148148148148149,0.75,0.7,0.6666666666666666,0.7777777777777778,0.6477272727272727,0.6079545454545455,0.6585365853658537,0.6382978723404256,0.6136363636363636,0.6818181818181818,-0.20686026936026936
5,KNN,0.6111111111111112,0.7222222222222222,0.75,0.5714285714285714,0.3333333333333333,0.8888888888888888,0.6022727272727273,0.6058884297520661,0.6153846153846154,0.5918367346938775,0.5454545454545454,0.6590909090909091,-0.11633379247015607
