,model_name,test_accuracy,test_roc_auc,test_ppv,test_npv,test_sensitivity,test_specificity,train_accuracy,train_roc_auc,train_ppv,train_npv,train_sensitivity,train_specificity,auc_diff
0,ALL_RF,0.8333333333333334,0.9444444444444444,0.875,0.8,0.7777777777777778,0.8888888888888888,0.9431818181818182,0.9741735537190083,0.8979591836734694,1.0,1.0,0.8863636363636364,0.029729109274563847
1,ALL_XGBoost,0.7777777777777778,0.7469135802469136,0.7272727272727273,0.8571428571428571,0.8888888888888888,0.6666666666666666,0.9204545454545454,0.8682851239669422,0.8936170212765957,0.9512195121951219,0.9545454545454546,0.8863636363636364,0.12137154372002867
2,ALL_SVC,0.6111111111111112,0.771604938271605,0.6666666666666666,0.5833333333333334,0.4444444444444444,0.7777777777777778,0.9431818181818182,0.9935433884297521,1.0,0.8979591836734694,0.8863636363636364,1.0,0.22193845015814706
3,ALL_GBM,0.3333333333333333,0.2160493827160494,0.2,0.38461538461538464,0.1111111111111111,0.5555555555555556,0.8068181818181818,0.7716942148760331,0.8857142857142857,0.7547169811320755,0.7045454545454546,0.9090909090909091,0.5556448321599836
