,model_name,test_accuracy,test_roc_auc,test_ppv,test_npv,test_sensitivity,test_specificity,train_accuracy,train_roc_auc,train_ppv,train_npv,train_sensitivity,train_specificity,auc_diff
0,ALL_RF,0.7845975680370585,0.779782839278736,0.04177545691906005,0.9962797619047619,0.7619047619047619,0.7848769050410317,1.0,1.0,1.0,1.0,1.0,1.0,0.22021716072126396
1,ALL_XGBoost,0.8135495078170237,0.7150812259253055,0.039755351681957186,0.9942857142857143,0.6190476190476191,0.8159437280187574,0.9825,0.998425,1.0,0.966183574879227,0.965,1.0,0.28334377407469447
2,ALL_SVC,0.7724377533294731,0.820032936973148,0.04411764705882353,0.9977255496588324,0.8571428571428571,0.7713950762016413,0.9775,1.0,0.9569377990430622,1.0,1.0,0.955,0.17996706302685195
3,ALL_GBM,0.7678054429646787,0.8175207949533857,0.038834951456310676,0.9961977186311787,0.7619047619047619,0.7678780773739742,1.0,1.0,1.0,1.0,1.0,1.0,0.1824792050466143
