threshold,events_upward,events_downward,non_events_upward,non_events_downward,total_events,total_non_events,NRI
0.01,0,0,0,618,21,1706,0.3622508792497069
0.05,0,15,0,1486,21,1706,0.15675766203316022
0.1,0,21,0,1429,21,1706,-0.16236811254396244
0.2,0,21,0,1124,21,1706,-0.34114888628370454
0.3,0,20,0,860,21,1706,-0.4482777870820074
0.5,0,16,0,322,21,1706,-0.5731591581532964
