Metric,Calibrated RF Model,Calibrated FRS Model,p-value,Significance
Brier Score,0.01176462400708479,0.011729605644508421,0.8396799153268354,Not Significant
Log Loss,0.05720312772043175,0.0568763947087964,0.7091755008217526,Not Significant
ROC AUC,0.8367386814045665,0.8217076983196561,4.668186190434914e-25,Significant
Accuracy,0.9878401852924146,0.9878401852924146,,
Precision,0.0,0.0,,
Recall,0.0,0.0,,
F1 Score,0.0,0.0,,
