threshold,events_upward,events_downward,non_events_upward,non_events_downward,total_events,total_non_events,NRI
0.01,0,0,365,2,21,1706,-0.21277842907385697
0.05,6,0,1177,0,21,1706,-0.40420365097973543
0.1,13,0,1308,0,21,1706,-0.1476581253837994
0.2,19,0,1102,0,21,1706,0.2588064534137219
0.3,19,0,855,0,21,1706,0.40358957181934907
0.5,16,0,321,0,21,1706,0.5737453246245743
