Metric,Non-calibrated RF Model,Non-calibrated FRS Model,p-value,Significance
Brier Score,0.14221256514186448,0.013306587159556967,0.0,Significant
Log Loss,0.44018513725301045,0.07007387814737656,0.0,Significant
ROC AUC,0.8587338804220398,0.8343940155194551,1.8680426811541652e-60,Significant
Accuracy,0.8106543138390272,0.9872611464968153,,
Precision,0.047337278106508875,0.0,,
Recall,0.7619047619047619,0.0,,
F1 Score,0.08913649025069638,0.0,,
